,α12264,ἀπογραφεύς,n,n-s---mn3v,ἀπογραφέως,,,,,0
14794,α15312,ἀρτιγενής,a,aps---cn5s,ἀρτιγενής ἀρτιγενής ἀρτιγενές,,,,,0
14796,α15314,ἀρτιγλυφής,a,aps---cn5s,ἀρτιγλυφής ἀρτιγλυφής ἀρτιγλυφές,,,,,0
14797,α15315,ἀρτίγνωστος,a,aps---cn2-,ἀρτίγνωστος ἀρτίγνωστος ἀρτίγνωστον,,,,,0
14798,α15316,ἀρτίγονος,a,aps---cn2-,ἀρτίγονος ἀρτίγονος ἀρτίγονον,,,,,0
14799,α15317,ἀρτιγραφής,a,aps---cn5s,ἀρτιγραφής ἀρτιγραφής ἀρτιγραφές,,,,,0
14800,α15318,ἀρτιδαής,a,aps---cn5s,ἀρτιδαής ἀρτιδαής ἀρτιδαές,,,,,0
14801,α15319,ἀρτιδάϊκτος,a,----------,,,,,,0
14803,α15321,ἀρτιδίδακτος,a,----------,,,,,,0
14804,α15322,ἀρτίδιον,n,n-s---nn2-,ἀρτιδίου,,,,,0
14805,α15323,ἀρτίδορος,a,aps---cn2-,ἀρτίδορος ἀρτίδορος ἀρτίδορον,,,,,0
14806,α15324,ἀρτιδρεπής,a,aps---cn5s,ἀρτιδρεπής ἀρτιδρεπής ἀρτιδρεπές,,,,,0
14808,α15326,ἀρτιέπεια,n,n-s---fn1s,ἀρτιέπειας,,,,,0
14809,α15327,ἀρτιεπής,a,aps---cn5s,ἀρτιεπής ἀρτιεπής ἀρτιεπές,,,,,0
14810,α15328,ἀρτιζυγία,n,n-s---fn1l,ἀρτιζυγίας,,,,,0
14811,α15329,ἀρτίζω,v,----------,,,,,,0
14812,α15330,ἀρτίζωος,a,aps---cn2-,ἀρτίζωος ἀρτίζωος ἀρτίζωον,,,,,0
14813,α15331,ἀρτιθαλής,a,aps---cn5s,ἀρτιθαλής ἀρτιθαλής ἀρτιθαλές,,,,,0
14814,α15332,ἀρτιθανής,a,aps---cn5s,ἀρτιθανής ἀρτιθανής ἀρτιθανές,,,,,0
14815,α15333,ἀρτιθέριστος,a,aps---cn2-,ἀρτιθέριστος ἀρτιθέριστος ἀρτιθέριστον,,,,,0
14816,α15334,ἀρτίθηρος,a,aps---cn2-,ἀρτίθηρος ἀρτίθηρος ἀρτίθηρον,,,,,0
14817,α15335,ἀρτίκαυστος,a,aps---cn2-,ἀρτίκαυστος ἀρτίκαυστος ἀρτίκαυστον,,,,,0
14818,α15336,ἀρτίκολλος,a,aps---cn2-,ἀρτίκολλος ἀρτίκολλος ἀρτίκολλον,,,,,0
14820,α15338,ἀρτικροτέω,v,----------,,,,,,0
14821,α15339,ἀρτίληπτος,a,aps---cn2-,ἀρτίληπτος ἀρτίληπτος ἀρτίληπτον,,,,,0
14822,α15340,ἀρτιλιθία,n,n-s---fn1l,ἀρτιλιθίας,,,,,0
14823,α15341,ἀρτιλογία,n,n-s---fn1l,ἀρτιλογίας,,,,,0
14824,α15342,ἀρτιλόγως,r,----------,,,,,,0
14826,α15344,ἀρτιμαθής,a,aps---cn5s,ἀρτιμαθής ἀρτιμαθής ἀρτιμαθές,,,,,0
14827,α15345,ἀρτιμελής,a,aps---cn5s,ἀρτιμελής ἀρτιμελής ἀρτιμελές,,,,,0
14828,,Ἄρτιμις,n,----------,,,,,,0
14829,,Ἀρτίμπασα,n,n-s---fn1s,Ἀρτίμπασας,,,,,0
14830,α15346,ἀρτίνοος,n,----------,,,,,,0
14831,α15347,ἀρτιογενής,a,aps---cn5s,ἀρτιογενής ἀρτιογενής ἀρτιογενές,,,,,0
14788,α15306,ἀρτιβρεχής,a,aps---cn5s,ἀρτιβρεχής ἀρτιβρεχής ἀρτιβρεχές,,,,,0
14834,α15350,ἀρτιολογέω,v,----------,,,,,,0
14837,α15353,ἀρτιόπλευρος,a,aps---cn2-,ἀρτιόπλευρος ἀρτιόπλευρος ἀρτιόπλευρον,,,,,0
14838,α15354,ἀρτιοπληθής,n,----------,,,,,,0
14839,α15355,ἄρτιος,a,aps---mn1-,ἄρτιος ἀρτία ἄρτιον,,,/ár.ti.os/,,0
14840,α15356,ἀρτιοταγής,a,aps---cn5s,ἀρτιοταγής ἀρτιοταγής ἀρτιοταγές,,,,,0
14841,α15357,ἀρτιότης,n,n-s---fn3t,ἀρτιότητος,,,,,0
14842,α15358,ἀρτιπαγής,a,aps---cn5s,ἀρτιπαγής ἀρτιπαγής ἀρτιπαγές,,,,,0
14843,α15359,ἀρτίπαις,n,----------,,,,,,0
14844,α15360,ἀρτίπλουτος,a,aps---cn2-,ἀρτίπλουτος ἀρτίπλουτος ἀρτίπλουτον,,,,,0
14845,α15361,ἀρτιπόλεμος,a,aps---cn2-,ἀρτιπόλεμος ἀρτιπόλεμος ἀρτιπόλεμον,,,,,0
14846,α15362,ἀρτίπους,n,----------,,,,,,0
14847,α15363,ἄρτισις,n,n-s---fn3v,ἀρτισέως,,,,,0
14849,α15365,ἀρτίσκιον,n,n-s---nn2-,ἀρτισκίου,,,,,0
14850,α15366,ἀρτίσκος,n,n-s---mn2-,ἀρτίσκου,,,,,0
14851,α15371,ἀρτιστῆρες,n,----------,,,,,,0
14852,α15367,ἀρτιστομέω,v,----------,,,,,,0
14853,α15368,ἀρτιστομία,n,n-s---fn1l,ἀρτιστομίας,,,,,0
14854,α15369,ἀρτίστομος,a,aps---cn2-,ἀρτίστομος ἀρτίστομος ἀρτίστομον,,,,,0
14855,α15370,ἀρτιστράτευτος,n,----------,,,,,,0
14857,α15373,ἀρτιτέλεστος,a,aps---cn2-,ἀρτιτέλεστος ἀρτιτέλεστος ἀρτιτέλεστον,,,,,0
14858,α15374,ἀρτιτελής,a,aps---cn5s,ἀρτιτελής ἀρτιτελής ἀρτιτελές,,,,,0
14859,α15375,ἀρτιτοκέω,v,----------,,,,,,0
14860,α15376,ἀρτίτοκος,a,aps---cn2-,ἀρτίτοκος ἀρτίτοκος ἀρτίτοκον,,,,,0
14861,α15377,ἀρτίτομος,a,aps---cn2-,ἀρτίτομος ἀρτίτομος ἀρτίτομον,,,,,0
14862,α15378,ἀρτιτρεφής,a,aps---cn5s,ἀρτιτρεφής ἀρτιτρεφής ἀρτιτρεφές,,,,,0
14863,α15379,ἀρτίτροπος,a,aps---cn2-,ἀρτίτροπος ἀρτίτροπος ἀρτίτροπον,,,,,0
14864,α15380,ἀρτιφαής,a,aps---cn5s,ἀρτιφαής ἀρτιφαής ἀρτιφαές,,,,,0
14865,α15381,ἀρτιφανής,a,aps---cn5s,ἀρτιφανής ἀρτιφανής ἀρτιφανές,,,,,0
14866,α15382,ἀρτίφατος,a,aps---cn2-,ἀρτίφατος ἀρτίφατος ἀρτίφατον,,,,,0
14868,α15384,ἀρτίφρων,a,aps---cn3n,ἀρτίφρων ἀρτίφρων ἀρτίφρον,,,,,0
14869,α15385,ἀρτιφυής,a,aps---cn5s,ἀρτιφυής ἀρτιφυής ἀρτιφυές,,,,,0
14870,α15386,ἀρτίφυτος,a,aps---cn2-,ἀρτίφυτος ἀρτίφυτος ἀρτίφυτον,,,,,0
14871,α15387,ἀρτιφωνία,n,n-s---fn1l,ἀρτιφωνίας,,,,,0
14872,α15388,ἀρτίφωνος,r,----------,,,,,,0
14874,α15390,ἀρτιχάρακτος,a,----------,,,,,,0
14875,α15391,ἀρτίχειρ,n,----------,,,,,,0
14876,α15392,ἀρτίχνους,a,----------,,,,,,0
14877,α15393,ἀρτιχόρευτος,a,aps---cn2-,ἀρτιχόρευτος ἀρτιχόρευτος ἀρτιχόρευτον,,,,,0
15243,α15754,ἄσαρον,n,n-s---nn2-,ἀσάρου,,,,,0
14833,α15349,ἀρτιοδύναμος,a,----------,,,,,,0
14880,α15396,ἀρτιώνυμος,a,aps---cn2-,ἀρτιώνυμος ἀρτιώνυμος ἀρτιώνυμον,,,,,0
14881,α15397,ἀρτίως,n,----------,,,,,,0
14882,α15398,ἀρτοδότης,n,n-s---mn1e,ἀρτοδότου,,,,,0
14883,α15399,ἀρτοζήτης,n,n-s---mn1e,ἀρτοζήτου,,,,,0
14884,α15400,ἀρτοθήκη,n,n-s---fn1e,ἀρτοθήκης,,,,,0
14887,α15403,ἀρτοκοπεῖον,n,n-s---nn2-,ἀρτοκοπείου,,,,,0
14888,α15404,ἀρτοκοπία,n,n-s---fn1l,ἀρτοκοπίας,,,,,0
14889,α15405,ἀρτοκοπικός,a,aps---mn1-,ἀρτοκοπικός ἀρτοκοπική ἀρτοκοπικόν,,,,,0
14890,α15406,ἀρτοκόπισσα,n,n-s---fn1s,ἀρτοκόπισσας,,,,,0
14891,α15407,ἀρτοκόπος,n,n-s---cn2-,ἀρτοκόπου,,,,,0
14892,α15408,ἀρτόκρεας,n,----------,,,,,,0
14893,α15409,ἀρτολάγανον,n,n-s---nn2-,ἀρτολαγάνου,,,/ar.to.lá.ɡa.non/,,0
14894,α15410,ἀρτολάγυνος,n,----------,,,,,,0
14895,α15411,ἀρτόμελι,n,----------,,,,,,0
14897,α15413,ἀρτοποιέω,v,----------,,,,,,0
14898,α15414,ἀρτοποιί̈α,n,n-s---fn1l,ἀρτοποιί̈ας,,,,,0
14900,α15416,ἀρτοποιός,n,----------,,,,,,0
14901,α15417,ἀρτόπονος,n,n-s---mn2-,ἀρτοπόνου,,,,,0
14902,α15418,ἀρτοποπέω,v,----------,,,,,,0
14903,α15419,ἀρτοπόπος,n,----------,,,,,,0
14904,α15420,ἀρτοπράτης,n,n-s---mn1e,ἀρτοπράτου,,,,,0
14905,α15421,ἀρτοπτεῖον,n,n-s---nn2-,ἀρτοπτείου,,,,,0
14906,α15422,ἀρτόπτης,n,n-s---mn1e,ἀρτόπτου,,,,,0
14907,α15423,ἀρτοπτίκιος,n,----------,,,,,,0
14908,α15424,ἀρτοπωλέω,v,----------,,,,,,0
14910,α15426,ἀρτοπωλία,n,n-s---fn1l,ἀρτοπωλίας,,,,,0
14911,α15427,ἀρτοπωλικόν,n,----------,,,,,,0
14913,α15429,ἀρτόπωλις,n,n-s---fn3d,ἀρτοπώλιδος,,,,,0
14914,α15430,ἄρτος,n,n-s---mn2-,ἄρτου,,,/ár.tos/,,0
14915,α15431,ἀρτοσιτέω,v,----------,,,,,,0
14916,α15432,ἀρτοσιτία,n,n-s---fn1l,ἀρτοσιτίας,,,,,0
14917,α15433,ἀρτοστάσιον,n,n-s---nn2-,ἀρτοστασίου,,,,,0
14918,α15434,ἀρτοστροφέω,v,----------,,,,,,0
14919,α15435,ἀρτότυρος,n,n-s---mn2-,ἀρτοτύρου,,,,,0
14921,α15437,ἀρτοφαγέω,v,----------,,,,,,0
14922,α15438,ἀρτοφάγος,n,----------,,,,,,0
14924,α15440,ἀρτοφόριον,n,n-s---nn2-,ἀρτοφορίου,,,,,0
14925,α15441,ἀρτοφόρος,a,aps---cn2-,ἀρτοφόρος ἀρτοφόρος ἀρτοφόρον,,,,,0
14926,α15442,ἀρτόχαρις,n,----------,,,,,,0
14927,α15443,ἄρτυμα,n,n-s---nn3t,ἀρτύματος,,,,,0
14928,α15450,ἀρτυμᾶς,n,----------,,,,,,0
14929,α15448,ἀρτυματᾶς,n,----------,,,,,,0
14931,α15445,ἀρτυμάτιον,n,n-s---nn2-,ἀρτυματίου,,,,,0
14879,α15395,ἀρτίχυτος,a,aps---cn2-,ἀρτίχυτος ἀρτίχυτος ἀρτίχυτον,,,,,0
14934,α15449,ἀρτυματώδης,a,aps---cn3s,ἀρτυματώδης ἀρτυματώδης ἀρτυματώ͂δες,,,,,0
14935,α15451,ἀρτύνας,n,----------,,,,,,0
14936,α15452,ἀρτύνω,v,----------,,,,/ar.ty̌ː.nɔː/,,0
14937,α15453,ἀρτυσία,n,n-s---fn1l,ἀρτυσίας,,,,,0
14938,α15454,ἀρτυσίλαος,n,n-s---mn2-,ἀρτυσιλάου,,,,,0
14939,α15455,ἄρτυσις,n,n-s---fn3v,ἀρτυσέως,,,,,0
14940,α15456,ἀρτυτήρ,n,n-s---mn3r,ἀρτυτῆρος,,,,,0
14941,α15457,ἀρτυτικός,a,aps---mn1-,ἀρτυτικός ἀρτυτική ἀρτυτικόν,,,,,0
14942,α15458,ἀρτυτοπώλης,n,n-s---mn1e,ἀρτυτοπώλου,,,,,0
14943,α15459,ἀρτυτός,a,aps---mn1-,ἀρτυτός ἀρτυτή ἀρτυτόν,,,,,0
14944,α15460,ἀρτύω,v,----------,,,,/ar.tý.ɔː/,,0
14945,α14459,ἀρῦ,n,----------,,,,,,0
14946,α15461,ἄρυα,n,n-p---nn2-,ἀρύων,,,,,0
14947,α15462,ἀρυβαλλίς,n,n-s---fn3d,ἀρυβαλλίδος,,,/a.ry.bal.lís/,,0
14949,α15464,ἀρύπαρος,a,----------,,,,,,0
14950,α15465,ἀρυσαῖα,n,n-p---nn2-,ἀρυσαίων,,,,,0
14951,α15466,ἀρυσάνη,n,n-s---fn1e,ἀρυσάνης,,,,,0
14952,α15472,ἀρυσᾶς,n,n-s---mn2c,ἀρυσᾶ,,,,,0
14953,α15467,ἀρύσιμος,a,----------,,,,,,0
14954,α15468,ἀρύσιος,n,----------,,,,,,0
14955,α15469,ἀρυσμεῖ,n,----------,,,,,,0
14956,α15470,ἀρυσμίη,n,n-s---fn1e,ἀρυσμίης,,,,,0
14957,α15471,ἄρυσος,n,n-s---mn2-,ἀρύσου,,,,,0
14958,α15473,ἀρύσσομαι,v,----------,,,,,,0
14959,α15474,ἀρυστήρ,n,----------,,,,,,0
14960,α15475,ἀρυστικός,n,----------,,,,,,0
14961,α15476,ἄρυστις,a,----------,,,,,,0
14963,α15478,ἀρυστρίς,n,----------,,,,,,0
14964,α15479,ἀρύταινα,n,n-s---fn1s,ἀρύταινας,,,,,0
14965,α15480,ἀρυταινοειδής,v,----------,,,,,,0
14966,α15481,ἀρυτήρ,n,----------,,,,,,0
14967,α15482,ἀρυτήσιμος,n,----------,,,,,,0
14968,α15483,ἀρυτός,n,----------,,,,,,0
14969,α15484,ἀρύω,v,----------,,,,,,0
14970,α15485,ἀρύω,n,----------,,,,,,0
14972,α15487,ἀρχαγέτας,n,----------,,,,,,0
14974,α15490,ἀρχαϊκός,a,aps---mn1-,ἀρχαϊκός ἀρχαϊκή ἀρχαϊκόν,,,,,0
14975,α15491,ἀρχαιογονία,n,n-s---fn1l,ἀρχαιογονίας,,,,,0
14977,α15493,ἀρχαιογράφος,n,----------,,,,,,0
14978,α15494,ἀρχαιοειδής,a,aps---cn5s,ἀρχαιοειδής ἀρχαιοειδής ἀρχαιοειδές,,,,,0
14979,α15495,ἀρχαιολογέω,v,----------,,,,,,0
14980,α15496,ἀρχαιολογία,n,n-s---fn1l,ἀρχαιολογίας,,,,,0
14981,α15497,ἀρχαιολογικός,a,aps---mn1-,ἀρχαιολογικός ἀρχαιολογική ἀρχαιολογικόν,,,,,0
14983,α15515,ἀρχαῖον,n,n-s---nn2-,ἀρχαίου,,,,,0
14984,α15499,ἀρχαιόνομος,a,aps---cn2-,ἀρχαιόνομος ἀρχαιόνομος ἀρχαιόνομον,,,,,0
14933,α15447,ἀρτυματοπώλης,n,n-s---mn1e,ἀρτυματοπώλου,,,,,0
14987,α15503,ἀρχαιοπρεπής,a,aps---cn5s,ἀρχαιοπρεπής ἀρχαιοπρεπής ἀρχαιοπρεπές,,,,,0
14989,α15504,ἀρχαιότης,n,n-s---fn3t,ἀρχαιότητος,,,/ar.kʰai̯.ó.tɛːs/,,0
14990,α15505,ἀρχαιοτροπία,n,n-s---fn1l,ἀρχαιοτροπίας,,,,,0
14991,α15506,ἀρχαιότροπος,a,aps---cn2-,ἀρχαιότροπος ἀρχαιότροπος ἀρχαιότροπον,,,,,0
14993,α15500,ἀρχαιόομαι,v,----------,,,,,,0
14994,α15509,ἀρχαιρεσία,n,n-s---fn1l,ἀρχαιρεσίας,,,,,0
14995,α15508,ἀρχαιρέσια,n,n-p---nn2-,ἀρχαιρεσίων,,,,,0
14996,α15510,ἀρχαιρεσιάζω,v,----------,,,,,,0
14997,α15511,ἀρχαιρεσιακός,a,aps---mn1-,ἀρχαιρεσιακός ἀρχαιρεσιακή ἀρχαιρεσιακόν,,,,,0
14998,α15512,ἀρχαιρεσιάρχης,n,n-s---mn1e,ἀρχαιρεσιάρχου,,,,,0
14999,α15513,ἀρχαιρετικός,a,aps---mn1-,ἀρχαιρετικός ἀρχαιρετική ἀρχαιρετικόν,,,,,0
15000,α15514,ἀρχαϊσμός,n,n-s---mn2-,ἀρχαϊσμοῦ,,,/ar.kʰa.iz.mós/,,0
15001,α15517,ἀρχε,n,----------,,,,,,0
15002,α15518,ἀρχέβακχος,n,n-s---mn2-,ἀρχεβάκχου,,,,,0
15003,,Ἀρχεβούλειον,n,----------,,,,,,0
15005,α15520,ἀρχεδέατρος,n,n-s---mn2-,ἀρχεδεάτρου,,,,,0
15006,α15521,ἀρχεδίκας,n,----------,,,,,,0
15007,α15522,ἀρχεζῶστις,n,----------,,,,,,0
15008,α15523,ἀρχεθέωρος,n,----------,,,,,,0
15009,α15524,ἀρχείνη,n,n-s---fn1e,ἀρχείνης,,,,,0
15010,α15532,ἀρχεῖον,n,n-s---nn2-,ἀρχείου,,,/ar.kʰêː.on/,,0
15011,α15525,ἀρχειοφύλαξ,n,----------,,,,,,0
15012,α15544,ἀρχεῖτις,n,----------,,,,,,0
15013,α15526,ἀρχειώτης,n,n-s---mn1e,ἀρχειώτου,,,,,0
15015,α15528,ἀρχέλαος,a,aps---cn2-,ἀρχέλαος ἀρχέλαος ἀρχέλαον,,,,,0
15016,α15529,ἀρχελληνοδίκης,n,n-s---mn1e,ἀρχελληνοδίκου,,,,,0
15017,α15530,ἀρχέμπορος,n,n-s---mn2-,ἀρχεμπόρου,,,,,0
15018,α15531,ἀρχενταφιαστής,n,n-s---mn1e,ἀρχενταφιαστού,,,,,0
15019,α15533,ἀρχέπλουτος,a,aps---cn2-,ἀρχέπλουτος ἀρχέπλουτος ἀρχέπλουτον,,,,,0
15020,α15534,ἀρχέπολις,n,----------,,,,,,0
15022,α15536,ἀρχερανίζω,v,----------,,,,,,0
15023,α15537,ἀρχερανιστέω,v,----------,,,,,,0
15024,α15538,ἀρχερανιστής,n,n-s---mn1e,ἀρχερανιστού,,,,,0
15025,α15539,ἀρχέρανος,n,----------,,,,,,0
15026,α15540,ἀρχεσίμολπος,n,----------,,,,,,0
15028,α15542,ἀρχεστατος,a,----------,,,,,,0
15029,α15543,ἀρχέτας,n,----------,,,,,,0
15030,α15545,ἀρχέτυπικῶς,r,----------,,,,,,0
15032,α15547,ἀρχεύω,v,----------,,,,,,0
15033,α15548,ἀρχεφηβεύω,v,----------,,,,,,0
14986,α15502,ἀρχαιόπλουτος,a,aps---cn2-,ἀρχαιόπλουτος ἀρχαιόπλουτος ἀρχαιόπλουτον,,,,,0
15036,α15551,ἀρχέφοδος,n,n-s---mn2-,ἀρχεφόδου,,,,,0
15038,α15553,ἀρχή,n,n-s---fn1e,ἀρχῆς,,,/ar.kʰɛ̌ː/,,0
15039,α15554,ἀρχηγενής,a,aps---cn5s,ἀρχηγενής ἀρχηγενής ἀρχηγενές,,,,,0
15040,α15555,ἀρχηγέσια,n,n-p---nn2-,ἀρχηγεσίων,,,,,0
15041,α15556,ἀρχηγετεύω,v,----------,,,,,,0
15042,α15557,ἀρχηγετέω,v,----------,,,,,,0
15043,α15558,ἀρχηγέτης,n,n-s---mn1e,ἀρχηγέτου,,,/ar.kʰɛː.ɡé.tɛːs/,,0
15045,α15560,ἀρχηγός,a,aps---cn2-,ἀρχηγός ἀρχηγός ἀρχηγόν,,,,,0
15046,α15564,ἀρχῆθεν,r,----------,,,,,,0
15047,α15561,ἀρχηί̈α,n,----------,,,,,,0
15048,α15562,ἀρχηί̈ς,n,n-s---fn3d,ἀρχηιίδος,,,,,0
15049,α15563,ἀρχήν,r,----------,,,,,,0
15050,α15565,ἀρχι,n,----------,,,,,,0
15051,α15566,ἀρχιαριστάς,n,----------,,,,,,0
15052,α15567,ἀρχιατρεία,n,n-s---fn1l,ἀρχιατρείας,,,,,0
15053,α15568,ἀρχιατρός,n,----------,,,,,,0
15054,α15569,ἀρχίβακχος,n,n-s---mn2-,ἀρχιβάκχου,,,,,0
15056,α15571,ἀρχιβδέλλιον,n,n-s---nn2-,ἀρχιβδελλίου,,,,,0
15057,α15572,ἀρχιβούκολος,n,n-s---mn2-,ἀρχιβουκόλου,,,,,0
15059,α15574,ἀρχίβουλος,a,aps---cn2-,ἀρχίβουλος ἀρχίβουλος ἀρχίβουλον,,,,,0
15060,α15575,ἀρχίγαλλος,n,n-s---mn2-,ἀρχιγάλλου,,,,,0
15062,α15577,ἀρχιγέρων,n,n-s---mn3t,ἀρχιγέροντος,,,,,0
15063,α15578,ἀρχιγεωργός,n,----------,,,,,,0
15064,α15579,ἀρχιγραμματεύς,n,n-s---mn3v,ἀρχιγραμματέως,,,,,0
15065,α15580,ἀρχιδαίμων,n,n-s---mn3n,ἀρχιδαίμονος,,,,,0
15066,α15581,ἀρχιδαφνηφορέω,v,----------,,,,,,0
15067,α15582,ἀρχιδενδροφόρος,n,n-s---mn2-,ἀρχιδενδροφόρου,,,,,0
15068,α15583,ἀρχιδεσμοφύλαξ,n,----------,,,,,,0
15069,α15584,ἀρχιδιάκονος,n,n-s---mn2-,ἀρχιδιακόνου,,,,,0
15071,α15586,ἀρχιδικαστής,n,n-s---mn1e,ἀρχιδικαστού,,,,,0
15072,α15587,ἀρχιδιοικητής,n,n-s---mn1e,ἀρχιδιοικητού,,,,,0
15073,α15588,ἀρχίδιον,n,n-s---nn2-,ἀρχιδίου,,,,,0
15074,α15589,ἀρχιεπίσκοπος,n,n-s---mn2-,ἀρχιεπισκόπου,,,,,0
15075,α15590,ἀρχιερανιστής,n,----------,,,,,,0
15076,α15591,ἀρχιεράομαι,v,----------,,,,,,0
15077,α15592,ἀρχιερατεία,n,n-s---fn1l,ἀρχιερατείας,,,,,0
15078,α15593,ἀρχιερατεύω,v,----------,,,,,,0
15081,α15596,ἀρχιερεύς,n,n-s---mn3v,ἀρχιερέως,,,/ar.kʰi.e.reú̯s/,,0
15082,α15597,ἀρχιερεύω,v,----------,,,,,,0
15083,α15598,ἀρχιερμηνεύς,n,n-s---mn3v,ἀρχιερμηνέως,,,,,0
15084,α15599,ἀρχιεροθυτέω,v,----------,,,,,,0
15555,α16047,ἀστακτί,r,----------,,,,,,0
15035,α15550,ἀρχεφοδεία,n,n-s---fn1l,ἀρχεφοδείας,,,,,0
15087,α15602,ἀρχιευνοῦχος,n,n-s---mn2-,ἀρχιευνούχου,,,,,0
15088,α15603,ἀρχιζάκορος,n,n-s---cn2-,ἀρχιζακόρου,,,,,0
15089,α15604,ἀρχιζάπφης,n,n-s---mn1e,ἀρχιζάπφου,,,,,0
15090,α15605,ἀρχιθάλασσος,n,----------,,,,,,0
15091,α15606,ἀρχιθεωρέω,v,----------,,,,,,0
15093,α15608,ἀρχιθεωρία,n,n-s---fn1l,ἀρχιθεωρίας,,,,,0
15095,α15610,ἀρχιθιασίτης,n,n-s---mn1e,ἀρχιθιασίτου,,,,,0
15096,α15611,ἀρχίθρονος,n,n-s---mn2-,ἀρχιθρόνου,,,,,0
15097,α15612,ἀρχιθύρα,n,n-s---fn1l,ἀρχιθύρας,,,,,0
