nd distinguished pupil of Plato, from Stagira, in Macedonia, teacher of Alexander the Great, and founder of the Peripatetic philosophy",
24480,03947051,n,9,an electromagnetic wave frequency between audio and infrared,"1951,2097,2606"
24482,03947602,n,9,below 3 kilohertz,"1951,2097,2606"
25420,04106137,n,9,a muscle that is connected at either or both ends to a bone and so move parts of the skeleton,2233
25421,04106815,n,9,striated muscle that can be controlled voluntarily,2233
25422,04106928,n,9,a muscle that draws a part away from the median line,2233
25423,04107125,n,9,the abductor muscle of the little finger,2233
25424,04107268,n,9,the abductor muscles of the little toe,2233
25425,04107390,n,9,the abductor muscle of the great toe,2233
25426,04107499,n,9,the abductor muscle of the thumb,2233
25427,04107623,n,9,a muscle that draws a part toward the median line,2233
25428,04107817,n,9,the short adductor muscle of the thigh,2233
25429,04107945,n,9,the long adductor muscle of the thigh,2233
25430,04108072,n,9,the muscle that adducts and extends the thing,2233
25431,04108231,n,9,the adductor muscle of the great toe,2233
25434,04108720,n,9,a muscle that relaxes while another contracts,2233
25435,04108822,n,9,a muscle that contracts while another relaxes,2233
25436,04108921,n,9,a muscle that inserts directly onto the capsule of a joint,2233
25437,04109097,n,9,a small branch of the triceps that inserts into the capsule of the elbow joint,"2233,2516"
25438,04109268,n,9,the articular muscle of the knee,2233
25439,04109392,n,9,a muscle that flatten the cheek and retracts the angle of the mouth,2233
25440,04109579,n,9,a skeletal muscle whose contraction extends or stretches a body part,2233
25441,04109756,n,9,a muscle of the thigh that extends the leg,2233
25442,04109932,n,9,tissue consisting or or containing fibers in both animals and plants,2233
25443,04110079,n,9,a sheet or band of tough fibrous tissue connecting bones or cartilages or supporting muscles or organs,2233
25444,04110255,n,9,a cord or band of inelastic tissue connecting a muscle with its bony attachment,2233
25445,04110469,n,9,a skeletal muscle whose contraction bends a joint,2233
25446,04110605,n,9,the system of joints in the body,2233
25494,04119489,n,9,grinding tooth with a broad crown; located behind the premolars,2233
25463,04113859,n,9,the body's system of sense organs,2233
25447,04110741,n,9,tissue composed of neurons,2233
25448,04110916,n,9,an encapsulated neural structure in the peripheral nervous system,2233
25449,04111091,n,9,any of the ganglia of the autonomic system whose unmyelinated fibers innervate the internal organs,2233
25453,04112169,n,9,a bodily organ that is essential for life,2233
25454,04112277,n,9,an organ that becomes active in response to stimulation,2233
25455,04112387,n,9,an organ that is situated on or near the surface of the body,2233
25456,04112526,n,9,an organ that is situated inside the body,2233
25457,04112790,n,9,internal organs collectively (especially those in the abdominal cavity),2233
25458,04112936,n,9,an organ that responds to stimulation,2233
25460,04113480,n,9,a sensory receptor that responds to pressure,2233
25461,04113583,n,9,a sensory receptor that responds to chemical stimuli,2233
25462,04113749,n,9,a sensory receptor that responds to heat and cold,2233
25465,04114213,n,9,all of the components of the organ of hearing including the outer and middle and inner ears,2233
25466,04114445,n,9,the sensory system for vision,2233
25467,04114572,n,9,a mobile mass of muscular tissue covered with mucous membrane and located in the oral cavity,2233
25469,04114991,n,9,a flap of cartilage that covers the windpipe while swallowing,2233
25471,04115406,n,9,informal terms for the mouth,2233
25472,04115504,n,9,a mouth or mouthlike opening,2233
25474,04115881,n,9,the cavity between the jaws and the cheeks,2233
25475,04116002,n,9,necklike opening to the uterus,2233
25476,04116121,n,9,(anatomy) a natural hollow or sinus within the body,2233
25477,04116916,n,9,a natural cavity or hollow in a bone,2233
25478,04117005,n,9,any of various bodily cavities leading to another cavity (as of the ear or vagina),2233
25479,04117179,n,9,the central cavity of the bony labyrinth of the ear,2233
25480,04117316,n,9,the tissue (covered by mucous membrane) of the jaws that surrounds the bases of the teeth,2233
25481,04117484,n,9,an oval sensory end organ on the surface of the tongue,2233
25483,04117913,n,9,any of the organs involved in speech production,2233
25484,04118055,n,9,fleshy folds of tissue as those surrounding the mouth,2233
25486,04118415,n,9,a large projecting front tooth,2233
25487,04118501,n,9,a tooth situated at the back of the mouth,2233
25488,04118611,n,9,a tooth that has grown in a faulty position,2233
25489,04118715,n,9,one of the first temporary teeth of a young mammal,2233
25490,04118888,n,9,one of the four pointed conical teeth (two in each jaw) located between the incisors and the premolars,2233
25492,04119237,n,9,small elevation on the grinding surface of a tooth,2233
25495,04119632,n,9,the molar that is the last of the permanent teeth to erupt,2233
25496,04119749,n,9,the enamel covered part of a tooth above the gum,2233
25497,04119905,n,9,the part of a tooth that is embedded in the jaw and serves as support,2233
25498,04120076,n,9,the passage in the root of a tooth through which its nerve and blood vessels enter the pulp cavity,2233
25499,04120250,n,9,hard white substance covering the crown of a tooth,2233
25500,04120387,n,9,a specialized bony substance covering the root of a tooth,2233
25501,04120527,n,9,the soft inner part of a tooth,2233
25502,04120627,n,9,either of two small masses of tissue one on each side of the pharynx,2233
25503,04120767,n,9,a small pendant fleshy lobe at the back of the soft palate,2233
25473,04115581,n,9,"the opening through which food is taken in and vocalizations emerge: ""he stuffed his mouth with candy""",2233
49393,07942481,n,9,tall pyramidal spruce native to northern Europe having dark green foliage on spreading branches with pendulous branchlets and long pendulous cones,"2158,2172"
25504,04120896,n,9,a muscular flap that closes off the nasopharynx during swallowing or speaking,2233
25544,04127649,n,9,biconvex transparent body situated behind the iris in the eye; it focuses light waves on the retina,"2102,2233"
26842,04362344,n,9,skills that are required for the life of soldier,1781
26872,04366760,n,9,lack of normal development of intellectual capacities,1502
26873,04367023,n,9,retardation sufficient to fall outside the normal range of intelligence,1502
26874,04367193,n,9,severe mental deficiency,1502
26875,04367280,n,9,mild mental retardation,1502
26876,04367378,n,9,extreme mental retardation,1502
26877,04367467,n,9,retardation more severe than a moron but not as severe as an idiot,1502
26878,04367590,n,9,the quality of being rash and foolish,1502
26889,04368983,n,9,a lack of creativity,2425
26890,04369118,n,9,a lack of creative imagination,2425
26891,04369208,n,9,uncreativeness due to a lack of originality,2425
26892,04369347,n,9,unoriginality as a result of being dull and hackneyed,2425
26894,04369669,n,9,unoriginality as a result of being too conventional,2425
26895,04369800,n,9,one of the inherent cognitive or perceptual powers of the mind,1502
26902,04371175,n,9,the faculty through which the external world is apprehended,2234
26903,04371376,n,9,a particular sense,2234
26909,04372357,n,9,responsive to stimulation,2234
26911,04372594,n,9,sensitivity to stimuli originating outside of the body,2234
26912,04372798,n,9,sensitivity to stimuli originating inside of the body,2234
26913,04372947,n,9,sensitivity to the action of radiant energy,2234
26915,04373297,n,9,any of the sensory systems that mediate sensations of pressure and tickle and warmth and cold and vibration and limb position and limb movement and pain,2234
50998,08274234,n,9,slightly succulent perennial with basal leaves and hairy sticky stems each bearing a solitary flower head with narrow pink or lavender rays; coastal bluffs Oregon to southern California,"2158,2172"
26935,04376966,n,9,a method of teaching by question and answer; used by Socrates to elicit truths from his students,1451
26945,04378827,n,9,"a system of rules for placing bets that is believed to lead to winning: ""he has a perfect gambling system at roulette""",2633
26946,04379007,n,9,"the system or form by which a community or other political unit is governed: ""tyrannical government""",1718
26969,04382865,n,9,"practices that are handed down from the past by tradition: ""a heritage of freedom""",1675
26974,04383764,n,9,"something that interests you because it is important or affects you: ""the safety of the ship is the captain's concern""",1502
26972,04383528,n,9,"a lively interest: ""enthusiasm for his program is growing""",1502
26922,04374489,n,9,"good hearing: ""he had a keen ear""; ""a good ear for pitch""",2234
26917,04373794,n,9,the visual ability to resolve fine detail,2234
26971,04383137,n,9,the state of a person's cognitive processes,1502
26918,04373924,n,9,use of the faculty of vision,2234
26919,04374030,n,9,the ability to see in reduced illumination (as in moonlight),2234
26920,04374163,n,9,three-dimensional vision,2234
26923,04374596,n,9,the ability to identify the pitch of a tone,2234
26925,04374903,n,9,the faculty of smell,2234
26927,04375183,n,9,the ability to feel movements of the limbs and body,2234
26928,04375386,n,9,a sensory system located in structures of the inner ear that registers the orientation of the head,2234
26929,04375624,n,9,the ability to sense the position and location and orientation and movement of the body and its parts,2234
26932,04376557,n,9,a method of investigation involving observation and theory to test scientific hypotheses,2053
26933,04376727,n,9,the use of controlled observations and measurements to test hypotheses,2053
26934,04376863,n,9,a method of instruction,1919
26937,04377248,n,9,the system of methods followed in a particular discipline,2053
26941,04378101,n,9,a system that provides quantitative information about finances,1782
26948,04379355,n,9,a system of reasoning,2873
26949,04379499,n,9,the syllogistic logic of Aristotle,2873
26957,04380752,n,9,(immunology) a technique that uses antibodies linked to a fluorescent dye in order to study antigens in a sample of tissue,2232
26960,04381279,n,9,a specific practice of long standing,"1675,1975"
26962,04381718,n,9,(sociology) the conventions that embody the fundamental values of a group,1675
26963,04381843,n,9,a set of conventional principles and expectations that are considered binding on any person who is a member of a particular group,1675
26964,04382107,n,9,(medieval) a highly conventionalized code of conduct for lovers,1675
26965,04382229,n,9,(medieval) the code of conduct observed by a knight errant who is wandering in search of deeds of chivalry,1675
26970,04383002,n,9,the procedure that would normally be followed,1675
26973,04383661,n,9,an excessive enthusiasm for all things English,1502
