11,νοσηρός,a,aps---mn1-,νοσηρός νοσηρά νοσηρόν,νοσηρός,0
71441,ο03260,ὀρθόπνοια,n,n-s---fn1s,ὀρθόπνοιας,ὀρθόπνοια,0
71492,ο03311,ὀρθόω,v,----------,,ὀρθόω,0
71494,ο03313,ὀρθρεύω,v,----------,,ὀρθρεύω,0
71545,ο03361,ὅριον,n,n-s---nn2-,ὁρίου,ὅριον,0
71546,ο03362,ὅριος,a,aps---cn2-,ὅριος ὅριος ὅριον,ὅριος,0
71600,ο03416,ὁρμέω,v,----------,,ὁρμέω,0
71601,ο03417,ὁρμή,n,n-s---fn1e,ὁρμῆς,ὁρμή,0
71651,ο03467,ὀρνιθάριον,n,n-s---nn2-,ὀρνιθαρίου,ὀρνιθάριον,0
71652,ο03468,ὀρνίθαρχος,n,n-s---mn2-,ὀρνιθάρχου,ὀρνίθαρχος,0
71699,ο03514,ὀρνιθοτροφέω,v,----------,,ὀρνιθοτροφέω,0
71706,ο03522,ὄρνιος,n,----------,,ὄρνιος,0
71754,ο03568,ὀρούα,n,----------,,ὀρούα,0
71755,ο03569,ὄρουσις,n,n-s---fn3v,ὀρουσέως,ὄρουσις,0
71807,ο03621,ὀρσός,n,----------,,ὀρσός,0
71811,ο03625,ὄρσω,v,----------,,ὄρσω,0
71866,ο03679,ὀρφανεία,n,n-s---fn1l,ὀρφανείας,ὀρφανεία,0
71868,ο03681,ὀρφανεύω,v,----------,,ὀρφανεύω,0
71919,ο03729,ὀρχηστοπάλη,n,n-s---fn1e,ὀρχηστοπάλης,ὀρχηστοπάλη,0
71976,ο03783,ὀσμύλιον,n,n-s---nn2-,ὀσμυλίου,ὀσμύλιον,0
71979,ο03789,ὁσονοῦν,n,----------,,ὁσονοῦν,0
72033,ο03842,ὀστοκλάστης,n,n-s---mn1e,ὀστοκλάστου,ὀστοκλάστης,0
72082,ο03891,ὄσυρις,n,----------,,ὄσυρις,0
72083,ο03892,ὄσφρα,n,n-s---fn1l,ὄσφρας,ὄσφρα,0
72198,ο01983,οὐδέτις,n,----------,,οὐδέτις,0
72199,ο01899,οὐ,r,----------,,οὐ,0
72200,ο01985,οὐδήεις,a,aps---mn4i,οὐδήεις οὐδήεσσα οὐδήεν,οὐδήεις,0
72140,ο03947,ὄτταβος,n,n-s---mn2-,ὀττάβου,ὄτταβος,0
72144,ο03951,ὅττι,n,----------,,ὅττι,0
72203,ο01996,οὐδοπότερος,n,----------,,οὐδοπότερος,0
72204,ο01998,οὐδός,n,----------,,οὐδός,0
72205,ο01999,οὐδός,n,----------,,οὐδός,0
72207,,Οὑδυσσεύς,n,----------,,Οὑδυσσεύς,0
72208,ο02001,οὐδών,n,n-s---mn3n,οὐδῶνος,οὐδών,0
72210,ο02006,οὐετερανός,n,----------,,οὐετερανός,0
72211,ο02021,οὖθαρ,n,n-s---nn3t,οὐθάατος,οὖθαρ,0
72212,ο02022,οὐθάτιος,n,----------,,οὐθάτιος,0
72214,ο02024,οὐθείς,n,----------,,οὐθείς,0
72216,ο01907,οὔ,r,----------,,οὔ,0
72217,ο02027,οὔϊγγον,n,n-s---nn2-,οὐΐγγου,οὔϊγγον,0
72218,ο02029,οὐί̈τουλος,n,n-s---mn2-,οὐϊτούλου,οὐί̈τουλος,0
72219,ο02031,οὐκ,n,----------,,οὐκ,0
72220,ο02032,οὑκ,n,----------,,οὑκ,0
72221,ο02030,οὐκ,r,----------,,οὐκ,0
72222,ο02057,οὐκέτι,r,rp--------,οὐκέτι,οὐκέτι,0
72223,ο02076,οὐκί,r,----------,,οὐκί,0
72224,ο02163,οὔκουν,r,----------,,οὔκουν,0
72226,ο02203,οὔκω,v,----------,,οὔκω,0
72227,ο02207,οὐλαί,n,n-p---fn1l,οὐλῶν,οὐλαί,0
72228,ο02208,οὐλαμηφόρος,a,aps---cn2-,οὐλαμηφόρος οὐλαμηφόρος οὐλαμηφόρον,οὐλαμηφόρος,0
72229,ο02209,οὐλαμοεργός,n,----------,,οὐλαμοεργός,0
72230,ο02210,οὐλαμός,n,----------,,οὐλαμός,0
72232,ο02212,οὐλαπισμός,n,----------,,οὐλαπισμός,0
72233,ο02213,οὐλάς,n,n-s---fn3d,οὐλάδος,οὐλάς,0
72234,ο02214,οὐλαφηφόρος,n,n-s---mn2-,οὐλαφηφόρου,οὐλαφηφόρος,0
72235,ο02215,οὐλέω,v,----------,,οὐλέω,0
72236,ο02217,οὐλή,n,----------,,οὐλή,0
72237,ο02216,οὐλή,n,n-s---fn1e,οὐλῆς,οὐλή,0
72238,ο02218,οὐλιαζόεις,a,----------,,οὐλιαζόεις,0
72239,ο02219,οὔλιγξ,n,----------,,οὔλιγξ,0
72241,ο02221,οὐλίριος,a,aps---cn2-,οὐλίριος οὐλίριος οὐλίριον,οὐλίριος,0
72243,ο02223,οὐλοδέτης,n,n-s---mn1e,οὐλοδέτου,οὐλοδέτης,0
72244,ο02224,οὐλόθριξ,n,----------,,οὐλόθριξ,0
72245,ο02254,οὐλότριχος,a,----------,,οὐλότριχος,0
72247,ο02226,οὐλοθυσία,n,n-s---fn1l,οὐλοθυσίας,οὐλοθυσία,0
72248,ο02227,οὐλοθυτέω,v,----------,,οὐλοθυτέω,0
72249,ο02228,οὐλοκάρηνος,a,----------,,οὐλοκάρηνος,0
72250,ο02229,οὐλοκέρως,a,----------,,οὐλοκέρως,0
72252,ο02231,οὐλοκίκιννα,n,----------,,οὐλοκίκιννα,0
72253,ο02232,οὐλοκόμης,n,n-s---mn1e,οὐλοκόμου,οὐλοκόμης,0
72255,ο02234,οὐλόκρανος,a,aps---cn2-,οὐλόκρανος οὐλόκρανος οὐλόκρανον,οὐλόκρανος,0
72256,ο02235,οὐλομελής,a,aps---cn5s,οὐλομελής οὐλομελής οὐλομελές,οὐλομελής,0
72257,ο02236,οὐλομελίη,n,n-s---fn1e,οὐλομελίης,οὐλομελίη,0
72202,ο01898,οὐ,r,----------,,οὐ,0
72261,ο02240,οὖλον,n,n-s---nn2-,οὔλου,οὖλον,0
72262,ο02241,οὐλόομαι,v,----------,,οὐλόομαι,0
72263,ο02242,οὐλοός,a,aps---cn2-,οὐλοός οὐλοός οὐλοόν,οὐλοός,0
72265,ο02244,οὐλοποιός,a,----------,,οὐλοποιός,0
72266,ο02245,οὐλόπους,n,----------,,οὐλόπους,0
72268,ο02249,οὖλος,a,----------,,οὖλος,0
72269,ο02248,οὖλος,a,----------,,οὖλος,0
72270,ο02250,οὖλος,a,aps---mn1-,οὖλος οὔλη οὖλον,οὖλος,0
72271,ο02247,οὖλος,n,n-s---mn2-,οὔλου,οὖλος,0
72272,ο02251,οὐλόσφαιρα,a,----------,,οὐλόσφαιρα,0
72273,ο02252,οὐλότης,n,n-s---fn3t,οὐλότητος,οὐλότης,0
72274,ο02253,οὐλοτριχέω,v,----------,,οὐλοτριχέω,0
72276,ο02256,οὐλοφόνον,n,n-s---nn2-,οὐλοφόνου,οὐλοφόνον,0
72277,ο02257,οὐλόφρων,a,aps---cn3n,οὐλόφρων οὐλόφρων οὐλόφρον,οὐλόφρων,0
72278,ο02258,οὐλοφυής,a,aps---cn5s,οὐλοφυής οὐλοφυής οὐλοφυές,οὐλοφυής,0
72280,ο02260,οὐλοχοεῖον,n,n-s---nn2-,οὐλοχοείου,οὐλοχοεῖον,0
72281,ο02261,οὐλοχύται,n,----------,,οὐλοχύται,0
72282,ο02262,οὐλοχυτέομαι,v,----------,,οὐλοχυτέομαι,0
72283,ο02263,οὐλόω,v,----------,,οὐλόω,0
72284,ο02264,οὔλω,v,----------,,οὔλω,0
72285,,Οὐλώ,n,n-s---fn3c,Οὐλοῦς,Οὐλώ,0
72286,ο02265,οὔλωμα,n,n-s---nn3t,οὐλώματος,οὔλωμα,0
72287,ο02266,οὔλως,r,----------,,οὔλως,0
72289,ο01889,οὐ,r,----------,,οὐ,0
72290,ο01896,οὐ,r,----------,,οὐ,0
72291,ο01895,οὐ,r,----------,,οὐ,0
72292,ο01894,οὐ,r,----------,,οὐ,0
72293,ο02271,οὐμές,n,----------,,οὐμές,0
72294,ο01893,οὐ,v,----------,,οὐ,0
72295,ο01892,οὐ,a,----------,,οὐ,0
72296,ο01891,οὐ,a,----------,,οὐ,0
72297,ο02287,οὖν,r,----------,,οὖν,0
72299,ο02305,οὕνεκα,n,----------,,οὕνεκα,0
72300,ο02309,οὔνεσθε,n,----------,,οὔνεσθε,0
72301,ο01913,οὔ,r,----------,,οὔ,0
72302,ο02436,οὑξ,n,----------,,οὑξ,0
72303,ο02450,οὖον,n,n-s---nn2-,οὔου,οὖον,0
72304,ο02470,οὔπα,n,----------,,οὔπα,0
72305,ο01914,οὔ,n,----------,,οὔ,0
72306,ο02472,οὗπερ,r,----------,,οὗπερ,0
72307,ο01906,οὔ,n,----------,,οὔ,0
72309,ο02474,οὔπιγγος,n,n-s---mn2-,οὐπίγγου,οὔπιγγος,0
72310,,Οὖπις,n,n-s---fn3v,Οὔπιος,Οὖπις,0
72311,ο01912,οὔ,r,----------,,οὔ,0
72312,ο01911,οὔ,r,----------,,οὔ,0
72313,ο01910,οὔ,v,----------,,οὔ,0
72314,ο02475,οὕποψ,n,----------,,οὕποψ,0
72316,ο01890,οὐ,n,----------,,οὐ,0
72317,ο02477,οὔπως,r,----------,,οὔπως,0
72319,ο02479,οὐραγέω,v,----------,,οὐραγέω,0
72320,ο02480,οὐραγία,n,n-s---fn1l,οὐραγίας,οὐραγία,0
72323,ο02483,οὐράδιον,n,n-s---nn2-,οὐραδίου,οὐράδιον,0
72324,ο02484,οὐραία,n,n-s---fn1l,οὐραίας,οὐραία,0
72326,ο02530,οὐραῖος,n,n-s---mn2-,οὐραίου,οὐραῖος,0
72327,ο02485,οὐρακός,n,----------,,οὐρακός,0
72328,ο02486,οὐράνη,n,n-s---fn1e,οὐράνης,οὐράνη,0
72329,,Οὐρανία,n,n-s---fn1l,Οὐρανίας,Οὐρανία,0
72330,ο02487,οὐρανιάζω,v,----------,,οὐρανιάζω,0
72331,,Οὐρανιάς,n,n-s---fn3d,Οὐρανιάδος,Οὐρανιάς,0
72332,,Οὐρανίδης,n,n-s---mn1e,Οὐρανίδου,Οὐρανίδης,0
72333,ο02488,οὐρανίζω,v,----------,,οὐρανίζω,0
72335,ο02490,οὐρανίς,n,n-s---fn3d,οὐρανίδος,οὐρανίς,0
72337,,Οὐρανίωνες,n,----------,,Οὐρανίωνες,0
72338,ο02492,οὐρανοβάμων,n,----------,,οὐρανοβάμων,0
72339,ο02493,οὐρανοβατέω,v,----------,,οὐρανοβατέω,0
72342,ο02496,οὐρανόδεικτος,a,aps---cn2-,οὐρανόδεικτος οὐρανόδεικτος οὐρανόδεικτον,οὐρανόδεικτος,0
72343,ο02497,οὐρανοδρόμος,a,aps---cn2-,οὐρανοδρόμος οὐρανοδρόμος οὐρανοδρόμον,οὐρανοδρόμος,0
72344,ο02498,οὐρανοειδής,a,aps---cn5s,οὐρανοειδής οὐρανοειδής οὐρανοειδές,οὐρανοειδής,0
72345,ο02499,οὐρανόεις,a,aps---mn4i,οὐρανόεις οὐρανόεσσα οὐρανόεν,οὐρανόεις,0
72346,ο02500,οὐράνοθεν,r,----------,,οὐράνοθεν,0
72347,ο02501,οὐρανοθεσία,n,n-s---fn1l,οὐρανοθεσίας,οὐρανοθεσία,0
72348,ο02502,οὐράνοθι,r,----------,,οὐράνοθι,0
72350,ο02504,οὐρανοκευθμωνοδίαιτος,n,----------,,οὐρανοκευθμωνοδίαιτος,0
72351,ο02505,οὐρανοκλῖμαξ,n,n-s---fn3v,οὐρανοκλῖμακος,οὐρανοκλῖμαξ,0
72353,ο02507,οὐρανομίμητος,n,----------,,οὐρανομίμητος,0
72354,ο02508,οὐρανόνικος,a,aps---cn2-,οὐρανόνικος οὐρανόνικος οὐρανόνικον,οὐρανόνικος,0
72355,ο02509,οὐρανόπαις,n,----------,,οὐρανόπαις,0
72356,ο02510,οὐρανοπετής,a,aps---cn5s,οὐρανοπετής οὐρανοπετής οὐρανοπετές,οὐρανοπετής,0
72358,ο02512,οὐρανοποιία,n,n-s---fn1l,οὐρανοποιίας,οὐρανοποιία,0
72359,ο02513,οὐρανόπολις,n,n-s---fn3v,οὐρανοπολέως,οὐρανόπολις,0
72360,ο02514,οὐρανοπολίτης,n,n-s---mn1e,οὐρανοπολίτου,οὐρανοπολίτης,0
72361,ο02515,οὐρανόροφος,a,aps---cn2-,οὐρανόροφος οὐρανόροφος οὐρανόροφον,οὐρανόροφος,0
72362,ο02516,οὐρανός,n,n-s---mn2-,οὐρανοῦ,οὐρανός,0
72364,ο02518,οὐρανοστεγὴς,n,----------,,οὐρανοστεγὴς,0
72365,ο02519,οὐρανουσία,n,n-s---fn1l,οὐρανουσίας,οὐρανουσία,0
72367,ο02520,οὐρανοφάντωρ,n,n-s---cn3r,οὐρανοφάντορος,οὐρανοφάντωρ,0
72368,ο02521,οὐράνοφι,r,----------,,οὐράνοφι,0
72322,ο02482,οὐραγωγός,a,aps---cn2-,οὐραγωγός οὐραγωγός οὐραγωγόν,οὐραγωγός,0
72373,ο02527,οὐρανόω,v,----------,,οὐρανόω,0
72374,ο02528,οὐράνωσις,n,n-s---fn3v,οὐρανωσέως,οὐράνωσις,0
72375,ο02529,οὖραξ,n,----------,,οὖραξ,0
72376,ο02532,οὐραχοειδής,a,aps---cn5s,οὐραχοειδής οὐραχοειδής οὐραχοειδές,οὐραχοειδής,0
72377,ο02533,οὐραχός,n,----------,,οὐραχός,0
72378,ο02534,οὐρβανὸς,n,----------,,οὐρβανὸς,0
72379,ο02535,οὑργάτης,n,----------,,οὑργάτης,0
72380,ο02536,οὔρεα,n,n-p---nn2-,οὐρέων,οὔρεα,0
72381,ο02538,οὐρεῖον,n,n-s---nn2-,οὐρείου,οὐρεῖον,0
72384,ο02540,οὐρεσιβώτης,n,n-s---mn1e,οὐρεσιβώτου,οὐρεσιβώτης,0
72386,ο02542,οὐρεσιφοίτης,n,n-s---mn1e,οὐρεσιφοίτου,οὐρεσιφοίτης,0
72388,ο02544,οὐρεύς,n,n-s---mn3u,οὐρῆος,οὐρεύς,0
72389,ο02545,οὐρεύω,v,----------,,οὐρεύω,0
72390,ο02547,οὐρέω,v,----------,,οὐρέω,0
72391,ο02546,οὐρέω,v,----------,,οὐρέω,0
72392,ο02548,οὐρηβόρος,a,aps---cn2-,οὐρηβόρος οὐρηβόρος οὐρηβόρον,οὐρηβόρος,0
72393,ο02549,οὐρηδόχος,a,aps---cn2-,οὐρηδόχος οὐρηδόχος οὐρηδόχον,οὐρηδόχος,0
72394,ο02550,οὐρήθρα,n,n-s---fn1l,οὐρήθρας,οὐρήθρα,0
72395,ο02551,οὔρημα,n,n-s---nn3t,οὐρήματος,οὔρημα,0
72396,ο02552,οὐρηρός,a,aps---mn1-,οὐρηρός οὐρηρά οὐρηρόν,οὐρηρός,0
72397,ο02553,οὔρησις,n,n-s---fn3v,οὐρησέως,οὔρησις,0
72398,ο02554,οὐρητήρ,n,n-s---mn3r,οὐρητῆρος,οὐρητήρ,0
72399,ο02555,οὐρητιάω,v,----------,,οὐρητιάω,0
72400,ο02556,οὐρητικός,a,aps---mn1-,οὐρητικός οὐρητική οὐρητικόν,οὐρητικός,0
72401,ο02557,οὐρητός,a,aps---mn1-,οὐρητός οὐρητή οὐρητόν,οὐρητός,0
72402,ο02558,οὐρητρίς,n,n-s---fn3d,οὐρητρίδος,οὐρητρίς,0
72403,ο02560,οὐρία,n,----------,,οὐρία,0
72404,ο02559,οὐρία,n,n-s---fn1l,οὐρίας,οὐρία,0
72405,ο02561,οὐρίαχος,n,n-s---mn2-,οὐριάχου,οὐρίαχος,0
72406,ο02562,οὐριβάτας,n,----------,,οὐριβάτας,0
72408,ο02563,οὐρίζω,v,----------,,οὐρίζω,0
72410,ο02566,οὐριοδρομέω,v,----------,,οὐριοδρομέω,0
72411,ο02567,οὔριον,n,n-s---nn2-,οὐρίου,οὔριον,0
72412,ο02568,οὔριος,a,----------,,οὔριος,0
72415,ο02571,οὐριότης,n,n-s---fn3t,οὐριότητος,οὐριότης,0
72416,ο02572,οὐριόω,v,----------,,οὐριόω,0
72417,ο02573,οὐρίς,n,n-s---fn3d,οὐρίδος,οὐρίς,0
72418,ο02574,οὔρισμα,n,n-s---nn3t,οὐρίσματος,οὔρισμα,0
72419,ο02575,οὐροβόρος,a,aps---cn2-,οὐροβόρος οὐροβόρος οὐροβόρον,οὐροβόρος,0
72420,ο02576,οὐρόγαλον,n,n-s---nn2-,οὐρογάλου,οὐρόγαλον,0
72421,δ04164,δο,n,----------,,δο,0
73467,π00657,παμπήδην,r,----------,,παμπήδην,0
72371,ο02524,οὐρανόφοιτος,a,aps---cn2-,οὐρανόφοιτος οὐρανόφοιτος οὐρανόφοιτον,οὐρανόφοιτος,0
72425,ο02580,οὖρον,n,----------,,οὖρον,0
72426,ο02581,οὖρον,n,n-s---nn2-,οὔρου,οὖρον,0
72428,ο02586,οὖρος,n,----------,,οὖρος,0
72429,ο02585,οὖρος,n,----------,,οὖρος,0
72430,ο02583,οὖρος,n,----------,,οὖρος,0
72431,ο02584,οὖρος,n,n-s---mn2-,οὔρου,οὖρος,0
72432,ο02587,οὐρός,n,----------,,οὐρός,0
72433,ο02588,οὐροτομέω,v,----------,,οὐροτομέω,0
72434,ο02589,οὐροφύλαξ,n,----------,,οὐροφύλαξ,0
72436,ο02594,οὖς,n,n-s---nn3-,ὠτός,οὖς,0
72437,ο02598,οὐσία,n,n-s---fn1l,οὐσίας,οὐσία,0
72438,ο02599,οὐσιάζω,v,----------,,οὐσιάζω,0
72439,ο02600,οὐσιακός,a,aps---mn1-,οὐσιακός οὐσιακή οὐσιακόν,οὐσιακός,0
72440,ο02601,οὐσιάρχης,n,n-s---mn1e,οὐσιάρχου,οὐσιάρχης,0
72441,ο02602,οὐσίδιον,n,n-s---nn2-,οὐσιδίου,οὐσίδιον,0
72443,ο02604,οὐσιοπάτωρ,n,n-s---mn3r,οὐσιοπάτορος,οὐσιοπάτωρ,0
72444,ο02605,οὐσιοποιός,a,aps---cn2-,οὐσιοποιός οὐσιοποιός οὐσιοποιόν,οὐσιοποιός,0
72445,ο02606,οὐσιότης,n,n-s---fn3t,οὐσιότητος,οὐσιότης,0
72446,ο02607,οὐσιόω,v,----------,,οὐσιόω,0
72447,ο02609,οὐσιώδης,a,aps---cn3s,οὐσιώδης οὐσιώδης οὐσιώ͂δες,οὐσιώδης,0
72448,ο02610,οὐσίωσις,n,n-s---fn3v,οὐσιωσέως,οὐσίωσις,0
72449,ο02611,οὐσιώτερα,n,----------,,οὐσιώτερα,0
72452,ο02614,οὔσκη,n,n-s---fn1e,οὔσκης,οὔσκη,0
72453,ο02617,οὖσον,n,n-s---nn2-,οὔσου,οὖσον,0
72454,ο02659,οὐτάζω,v,----------,,οὐτάζω,0
72455,ο01909,οὔ,n,----------,,οὔ,0
72456,ο01908,οὔ,n,----------,,οὔ,0
72457,ο02660,οὐτάω,v,----------,,οὐτάω,0
72459,ο02662,οὕτερος,n,----------,,οὕτερος,0
72460,ο02663,οὐτήσασκε,n,----------,,οὐτήσασκε,0
72461,ο02664,οὔτησις,n,n-s---fn3v,οὐτησέως,οὔτησις,0
72462,ο02665,οὐτήτειρα,n,n-s---fn1s,οὐτήτειρας,οὐτήτειρα,0
72464,ο02666,οὔτι,a,----------,,οὔτι,0
72465,ο02667,οὔτι,v,----------,,οὔτι,0
72466,ο02668,οὔτι,r,----------,,οὔτι,0
72467,ο02670,οὔτις,n,----------,,οὔτις,0
72468,ο02671,οὐτίς,n,n-s---fn3d,οὐτίδος,οὐτίς,0
72469,ο02672,οὔτοι,r,----------,,οὔτοι,0
72470,ο02674,οὗτος,n,,,οὗτος,0
72472,ο02676,οὑτωτρόπως,r,----------,,οὑτωτρόπως,0
72473,ο02678,οὕφις,n,----------,,οὕφις,0
72474,ο02680,οὐχ,n,----------,,οὐχ,0
72475,ο02686,οὑχῖνος,n,----------,,οὑχῖνος,0
72476,ο03954,ὄφ,n,----------,,ὄφ,0
72478,ο03956,ὀφειλέσιον,n,n-s---nn2-,ὀφειλεσίου,ὀφειλέσιον,0
72479,ο03957,ὀφειλέτης,n,n-s---mn1e,ὀφειλέτου,ὀφειλέτης,0
72480,ο03958,ὀφειλέω,v,----------,,ὀφειλέω,0
72483,ο03961,ὀφείλησις,n,n-s---fn3v,ὀφειλησέως,ὀφείλησις,0
72484,ο03962,ὀφειλόντως,r,----------,,ὀφειλόντως,0
72485,ο03963,ὀφείλω,v,----------,,ὀφείλω,0
72487,ο03965,ὀφέλλιμος,a,aps---cn2-,ὀφέλλιμος ὀφέλλιμος ὀφέλλιμον,ὀφέλλιμος,0
72488,ο03966,ὀφέλλιον,n,----------,,ὀφέλλιον,0
72489,ο03968,ὀφέλλω,n,----------,,ὀφέλλω,0
72490,ο03967,ὀφέλλω,v,----------,,ὀφέλλω,0
72491,ο03969,ὀφέλλω,n,----------,,ὀφέλλω,0
72492,ο03971,ὄφελμα,n,----------,,ὄφελμα,0
72493,ο03970,ὄφελμα,n,n-s---nn3t,ὀφέλματος,ὄφελμα,0
