419,βαρυοδμία,n,n-s---fn1l,βαρυοδμίας,,,,,0
23817,δ01849,διανάσσω,v,----------,,,,,,0
23818,δ01850,διανάστασις,n,n-s---fn3v,διαναστασέως,,,,,0
23819,δ01851,διαναστατέον,v,----------,,,,,,0
23820,δ01852,διαναστρέφομαι,v,----------,,,,,,0
23821,δ01853,διαναυμαχέω,v,----------,,,,,,0
23822,δ01854,διανάω,v,----------,,,,,,0
23824,δ01856,διανδραγαθέω,v,----------,,,,,,0
23825,δ01857,διανεκής,a,aps---cn5s,διανεκής διανεκής διανεκές,,,,,0
23826,δ01858,διανέμησις,n,n-s---fn3v,διανεμησέως,,,,,0
23827,δ01859,διανεμητέον,a,----------,,,,,,0
23830,δ01862,διανεμόομαι,v,----------,,,,,,0
23831,δ01863,διανέμω,v,----------,,,,,,0
23832,δ01864,διανενοημένως,r,----------,,,,,,0
23833,δ01865,διανεύω,v,----------,,,,,,0
23834,δ01866,διανέω,v,----------,,,,,,0
23835,δ01867,διανήθω,v,----------,,,,,,0
23836,δ01868,διάνημα,n,n-s---nn3t,διανήματος,,,,,0
23838,δ01870,διανηστεύω,v,----------,,,,,,0
23839,δ01871,διανηστισμός,n,----------,,,,,,0
23840,δ01872,διανήχομαι,v,----------,,,,,,0
23841,δ01873,διάνηψις,n,n-s---fn3v,διανηψέως,,,,,0
23842,δ01874,διανθέω,v,----------,,,,,,0
23843,δ01875,διανθής,a,aps---cn5s,διανθής διανθής διανθές,,,,,0
23844,δ01876,διανθίζω,v,v1spia--1-,,,,,,0
23846,δ01878,διανίζω,v,----------,,,,,,0
23847,δ01879,διανίημι,v,----------,,,,,,0
23848,δ01880,διανίσσομαι,v,----------,,,,,,0
23849,δ01881,διανίστημι,v,----------,,,,,,0
23850,δ01882,διάνιψις,n,n-s---fn3v,διανιψέως,,,,,0
23851,δ01884,διανοέω,v,v1spia--2e,,,,/di.a.no.é.ɔː/,,0
23796,δ01828,διαμωλύω,v,----------,,,,,,0
23854,δ01887,διανοητέον,v,----------,,,,,,0
23855,δ01888,διανοητής,n,n-s---mn1e,διανοητού,,,,,0
23857,δ01890,διανοητός,a,aps---mn1-,διανοητός διανοητή διανοητόν,,,,,0
23858,δ01891,διάνοια,n,n-s---fn1s,,,,,,0
23859,δ01892,διανοίγω,v,----------,,,,,,0
23860,δ01893,διανοικίζω,v,----------,,,,,,0
23861,δ01894,διάνοιξις,n,n-s---fn3v,διανοιξέως,,,,,0
23862,δ01895,διανομεύς,n,n-s---mn3v,διανομέως,,,,,0
23863,δ01896,διανομή,n,n-s---fn1e,διανομῆς,,,,,0
23864,δ01897,διανομοθετέω,v,----------,,,,,,0
23865,δ01898,διάνομος,n,n-s---mn2-,διανόμου,,,,,0
23866,δ01899,διανοσέω,v,----------,,,,,,0
23868,δ01901,δίανσις,n,n-s---fn3v,διανσέως,,,,,0
23869,δ01902,δίαντα,r,----------,,,,,,0
23871,δ01903,διανταίρω,v,----------,,,,,,0
23872,δ01905,διαντικός,a,aps---mn1-,διαντικός διαντική διαντικόν,,,,,0
23873,δ01906,διαντλέω,v,----------,,,,,,0
23874,δ01907,διαντλίζομαι,v,----------,,,,,,0
23876,δ01909,διανυκτερεύω,v,----------,,,,,,0
23877,δ01910,διάνυσις,n,n-s---fn3v,διανυσέως,,,,,0
23878,δ01911,διάνυσμα,n,n-s---nn3t,διανύσματος,,,,,0
23879,,Διάνυσος,n,n-s---mn2-,Διανύσου,,,,,0
23880,δ01912,διανυστέον,a,----------,,,,,,0
23882,δ01914,διανύττω,v,----------,,,,,,0
23883,δ01915,διανύχιος,a,aps---cn2-,διανύχιος διανύχιος διανύχιον,,,,,0
23884,δ01916,διανύω,v,----------,,,,,,0
23885,δ01929,διαομιλῶ,n,----------,,,,,,0
23886,δ01917,διαξαίνω,v,----------,,,,,,0
23887,δ01918,διαξέω,v,----------,,,,,,0
23889,δ01920,διάξηρος,a,aps---cn2-,διάξηρος διάξηρος διάξηρον,,,,,0
23890,δ01921,διάξιμος,a,aps---cn2-,διάξιμος διάξιμος διάξιμον,,,,,0
23891,δ01922,διαξιφίζομαι,v,----------,,,,,,0
23892,δ01923,διαξιφισμός,n,----------,,,,,,0
23893,δ01924,διαξόος,n,n-s---mn2-,διαξόου,,,,,0
23895,δ01926,διαξυράομαι,v,----------,,,,,,0
23897,δ01928,διαξύω,v,----------,,,,,,0
23898,δ01930,διαπαγκρατιάζω,v,----------,,,,,,0
23899,δ01931,διαπαιγμός,n,----------,,,,,,0
23900,δ01932,διαπαιδαγωγέω,v,----------,,,,,,0
23902,δ01934,διαπαίζω,v,----------,,,,,,0
23903,δ01935,διαπαίκτης,n,n-s---mn1e,διαπαίκτου,,,,,0
23904,δ01936,διαπαλαίω,v,----------,,,,,,0
23905,δ01937,διαπάλη,n,n-s---fn1e,διαπάλης,,,,,0
23906,δ01938,διαπάλλω,v,----------,,,,,,0
23907,δ01939,διαπαλύνω,v,----------,,,,,,0
23908,δ01940,διαπαννυχίζω,v,----------,,,,,,0
23853,δ01886,διανόησις,n,n-s---fn3v,διανοησέως,,,,,0
23911,δ01943,διαπαντός,r,----------,,,,,,0
23912,δ01944,διαπαπταίνω,v,----------,,,,,,0
23913,δ01945,διαπαραδίδωμι,v,----------,,,,,,0
23914,δ01946,διαπαρατηρέομαι,v,----------,,,,,,0
23916,δ01948,διαπαρθένευσις,n,n-s---fn3v,διαπαρθενευσέως,,,,,0
23917,δ01949,διαπαρθενευτής,n,n-s---mn1e,διαπαρθενευτού,,,,,0
23918,δ01950,διαπαρθένια,n,n-p---nn2-,διαπαρθενίων,,,,,0
23920,δ01952,διάπαρμα,n,n-s---nn3t,διαπάρματος,,,,,0
23921,δ01953,διάπαρσις,n,n-s---fn3v,διαπαρσέως,,,,,0
23922,δ01954,διάπασμα,n,n-s---nn3t,διαπάσματος,,,,,0
23923,δ01956,διαπασσαλεύω,v,----------,,,,,,0
23924,δ01957,διαπάσσω,v,----------,,,,,,0
23925,δ01958,διαπαστέον,a,----------,,,,,,0
23926,δ01959,διαπάσχω,v,----------,,,,,,0
23927,δ01955,διαπασῶν,n,----------,,,,,,0
23928,δ01960,διαπατάω,v,----------,,,,,,0
23929,δ01961,διαπατέω,v,----------,,,,,,0
23931,δ01963,διάπαυσις,n,n-s---fn3v,διαπαυσέως,,,,,0
23932,δ01964,διαπαύω,v,----------,,,,,,0
23933,δ01965,διαπαφλάζω,v,----------,,,,,,0
23935,δ01967,διαπείθω,v,----------,,,,,,0
23936,δ01968,διαπειλέω,v,----------,,,,,,0
23937,δ01969,διαπεινάω,v,----------,,,,,,0
23939,δ01971,διαπειράζω,v,----------,,,,,,0
23940,δ01972,διαπειραίνω,v,----------,,,,,,0
23941,δ01973,διαπειράομαι,v,----------,,,,,,0
23942,δ01974,διαπείρω,v,----------,,,,,,0
23943,δ01975,διάπεισμα,n,n-s---nn3t,διαπείσματος,,,,,0
23944,δ01976,διαπελάζω,v,----------,,,,,,0
23945,δ01977,διάπεμπτος,n,----------,,,,,,0
23946,δ01978,διαπέμπω,v,----------,,,,,,0
23948,δ01980,διαπενθέω,v,----------,,,,,,0
23949,δ01981,διαπενταθλέω,v,----------,,,,,,0
23950,δ01982,διαπεπονημένως,r,----------,,,,,,0
23951,δ01983,διαπεραίνω,v,----------,,,,,,0
23952,δ01984,διαπεραιόω,v,----------,,,,,,0
23955,δ01987,διαπεραντέον,v,----------,,,,,,0
23957,δ01989,διαπεράω,v,----------,,,,,,0
23958,δ01990,διαπερδικίζω,v,----------,,,,,,0
23959,δ01991,διαπέρθω,v,----------,,,,,,0
23960,δ01992,διαπεριπατέω,v,----------,,,,,,0
23961,δ01993,διαπερονάω,v,----------,,,,,,0
23962,δ01994,διαπέρχομαι,v,----------,,,,,,0
23964,δ01996,διαπέτεια,n,n-s---fn1s,διαπέτειας,,,,,0
23965,δ01997,διαπετής,a,aps---cn5s,διαπετής διαπετής διαπετές,,,,,0
23910,δ01942,διαπαντάω,v,----------,,,,,,0
23968,δ02000,διαπέττω,v,----------,,,,,,0
23969,δ02001,διαπεύθομαι,v,----------,,,,,,0
23970,δ02002,διάπηγα,n,n-p---nn2-,διαπήγων,,,,,0
23971,δ02003,διαπήγιον,n,n-s---nn2-,διαπηγίου,,,,,0
23972,δ02004,διάπηγμα,n,n-s---nn3t,διαπήγματος,,,,,0
23973,δ02005,διαπηγμάτιον,n,n-s---nn2-,διαπηγματίου,,,,,0
23974,δ02006,διαπήγνυμι,v,----------,,,,,,0
23975,δ02007,διαπηδάω,v,----------,,,,,,0
23977,δ02009,διαπηνηκίζω,v,----------,,,,,,0
23978,δ02010,διάπηξ,n,----------,,,,,,0
23979,δ02011,διάπηξις,n,n-s---fn3v,διαπηξέως,,,,,0
23980,δ02012,διαπιαίνω,v,----------,,,,,,0
23981,δ02013,διαπιδάω,v,----------,,,,,,0
23983,δ02014,διαπίδυσις,n,n-s---fn3v,διαπιδυσέως,,,,,0
23984,δ02016,διαπιέζω,v,----------,,,,,,0
23985,δ02017,διαπιθανεύομαι,v,----------,,,,,,0
23986,δ02018,διαπιθηκίζω,v,----------,,,,,,0
23988,δ02020,διάπικρος,a,aps---cn2-,διάπικρος διάπικρος διάπικρον,,,,,0
23989,δ02021,διαπίμελος,a,aps---cn2-,διαπίμελος διαπίμελος διαπίμελον,,,,,0
23990,δ02022,διαπίμπλημι,v,----------,,,,,,0
23991,δ02023,διαπίμπρημι,v,----------,,,,,,0
23992,δ02024,διαπίνω,v,----------,,,,,,0
23993,δ02025,διαπιπράσκω,v,----------,,,,,,0
23994,δ02026,διαπίπτω,v,----------,,,,,,0
23996,δ02028,διαπιστέω,v,----------,,,,,,0
23997,δ02029,διαπλανάω,v,----------,,,,,,0
23999,δ02031,διάπλασμα,n,n-s---nn3t,διαπλάσματος,,,,,0
24000,δ02032,διαπλασμός,n,----------,,,,,,0
24001,δ02033,διαπλάσσω,v,----------,,,,,,0
24003,δ02035,διαπλατύνω,v,----------,,,,,,0
24005,δ02037,διαπλέκω,v,----------,,,,,,0
24006,δ02038,διαπλευρισμός,n,----------,,,,,,0
24007,δ02039,διαπλέω,v,----------,,,,,,0
24008,δ02040,διάπλεως,n,----------,,,,,,0
24009,δ02041,διαπληκτίζομαι,v,----------,,,,,,0
24011,δ02043,διαπληκτισμός,n,----------,,,,,,0
24012,δ02044,διαπληρόω,v,----------,,,,,,0
24013,δ02045,διαπλήσσω,v,----------,,,,,,0
24015,δ02047,διαπλοκή,n,n-s---fn1e,διαπλοκῆς,,,,,0
24016,δ02048,διαπλόκινος,a,aps---cn2-,διαπλόκινος διαπλόκινος διαπλόκινον,,,,,0
24017,δ02049,διάπλοκος,a,aps---cn2-,διάπλοκος διάπλοκος διάπλοκον,,,,,0
24018,δ02050,διάπλοος,a,----------,,,,,,0
24019,δ02051,διάπλουτος,n,----------,,,,,,0
24020,δ02052,διαπλόω,v,----------,,,,,,0
24022,δ02054,διαπλώω,v,----------,,,,,,0
23967,δ01999,διαπεττεύω,v,----------,,,,,,0
24025,δ02057,διάπνευσις,n,n-s---fn3v,διαπνευσέως,,,,,0
24026,δ02058,διαπνευστία,n,n-s---fn1l,διαπνευστίας,,,,,0
24028,δ02060,διαπνευστός,a,aps---cn2-,διαπνευστός διαπνευστός διαπνευστόν,,,,,0
24029,δ02061,διαπνέω,v,----------,,,,,,0
24030,δ02062,διαπνοή,n,n-s---fn1e,διαπνοῆς,,,,,0
24031,δ02063,διάπνοια,n,n-s---fn1s,διάπνοιας,,,,,0
24032,δ02064,διαποδίζω,v,----------,,,,,,0
24033,δ02065,διαποδισμός,n,----------,,,,,,0
24034,δ02066,διαποζεύγνυμαι,v,----------,,,,,,0
24035,δ02067,διαποθνῄσκω,v,----------,,,,,,0
24036,δ02068,διαποιέω,v,----------,,,,,,0
24037,δ02069,διαποικίλλω,v,----------,,,,,,0
24039,δ02071,διαποιμαίνω,v,----------,,,,,,0
24040,δ02072,διαπολεμέω,v,----------,,,,,,0
24041,δ02073,διαπολέμησις,n,n-s---fn3v,διαπολεμησέως,,,,,0
24042,δ02074,διαπολιορκέω,v,----------,,,,,,0
24043,δ02075,διαπολιτεία,n,n-s---fn1l,διαπολιτείας,,,,,0
24044,δ02076,διαπολιτεύομαι,v,----------,,,,,,0
24046,δ02078,διαπόλλυμι,v,----------,,,,,,0
24047,δ02079,διαπομπεύω,v,----------,,,,,,0
24048,δ02080,διαπομπή,n,n-s---fn1e,διαπομπῆς,,,,,0
24049,δ02081,διαπόμπησις,n,n-s---fn3v,διαπομπησέως,,,,,0
24050,δ02082,διαπόμπιμος,a,aps---cn2-,διαπόμπιμος διαπόμπιμος διαπόμπιμον,,,,,0
24051,δ02083,διαπονδαρίζει,n,----------,,,,,,0
24052,δ02084,διαπονέω,v,----------,,,,,,0
24053,δ02085,διαπόνημα,n,n-s---nn3t,διαπονήματος,,,,,0
24055,δ02087,διαπόνησις,n,n-s---fn3v,διαπονησέως,,,,,0
24056,δ02088,διαπονητότατα,r,----------,,,,,,0
24057,δ02089,διάπονος,a,aps---cn2-,διάπονος διάπονος διάπονον,,,,,0
24060,δ02092,διαπορεία,n,n-s---fn1l,διαπορείας,,,,,0
24061,δ02093,διαπορεύσιμος,n,----------,,,,,,0
24062,δ02094,διαπόρευσις,n,n-s---fn3v,διαπορευσέως,,,,,0
24064,δ02096,διαπορεύω,v,----------,,,,,,0
24065,δ02097,διαπορέω,v,----------,,,,,,0
24066,δ02098,διαπόρημα,n,n-s---nn3t,διαπορήματος,,,,,0
24067,δ02099,διαπόρησις,n,n-s---fn3v,διαπορησέως,,,,,0
24068,δ02100,διαπορητέον,v,----------,,,,,,0
24069,δ02101,διαπορητικός,a,aps---mn1-,διαπορητικός διαπορητική διαπορητικόν,,,,,0
24070,δ02102,διαπορθέω,v,----------,,,,,,0
24071,δ02103,διαπορθμεύω,v,----------,,,,,,0
24073,δ02105,διαπορίαι,n,n-p---fn1l,διαποριῶν,,,,,0
24074,δ02106,διαπορίζω,v,----------,,,,,,0
24024,δ02056,διάπνευμα,n,n-s---nn3t,διαπνεύματος,,,,,0
24078,δ02111,διαποστολή,n,n-s---fn1e,διαποστολῆς,,,,,0
24079,δ02109,διαποσῴζω,v,----------,,,,,,0
24080,δ02112,διαπραγματεύομαι,v,----------,,,,,,0
24082,δ02114,διαπρακτικός,a,ap----m-1-,διαπρακτικός διαπρακτική διαπρακτικόν,,,/di.a.prak.ti.kós/,,0
24083,δ02115,διάπραξις,n,n-s---fn3v,διαπραξέως,,,,,0
24084,δ02116,διάπρασις,n,n-s---fn3v,διαπρασέως,,,,,0
24085,δ02117,διαπράσσω,v,----------,,,,,,0
24086,δ02118,διαπραύ̈νω,v,----------,,,,,,0
24087,δ02119,διαπρέπεια,n,n-s---fn1s,διαπρέπειας,,,,,0
24088,δ02120,διαπρεπής,a,aps---cn5s,διαπρεπής διαπρεπής διαπρεπές,,,,,0
24089,δ02121,διαπρεπόντως,r,----------,,,,,,0
24090,δ02122,διαπρέπω,v,----------,,,,,,0
24091,δ02123,διαπρεσβεία,n,n-s---fn1l,διαπρεσβείας,,,,,0
24093,δ02125,διαπρέσβευσις,n,n-s---fn3v,διαπρεσβευσέως,,,,,0
24094,δ02126,διαπρηστεύω,v,----------,,,,,,0
24095,δ02127,διαπρίζω,v,----------,,,,,,0
24097,δ02129,διαπρίω,v,----------,,,,,,0
24098,δ02130,διαπρίωσις,n,n-s---fn3v,διαπριωσέως,,,,,0
24099,δ02131,διαπριωτός,a,aps---mn1-,διαπριωτός διαπριωτή διαπριωτόν,,,,,0
24100,δ02132,διαπρό,n,----------,,,,,,0
24101,δ02133,διάπροθι,r,----------,,,,,,0
24103,δ02135,διαπρύσιος,a,aps---mn1-,διαπρύσιος διαπρύσια διαπρύσιον,,,,,0
24104,δ02136,διαπταίω,v,----------,,,,,,0
24105,δ02137,διαπτερόω,v,----------,,,,,,0
24106,δ02138,διαπτερύσσομαι,v,----------,,,,,,0
24107,δ02139,διαπτέρωσις,n,n-s---fn3v,διαπτερωσέως,,,,,0
24108,δ02140,διαπτίσσω,v,----------,,,,,,0
24109,δ02141,διαπτοέω,v,----------,,,,,,0
24111,δ02143,διάπτυξις,n,n-s---fn3v,διαπτυξέως,,,,,0
24112,δ02144,διαπτύσσω,v,----------,,,,,,0
24113,δ02145,διαπτυχή,n,n-s---fn1e,διαπτυχῆς,,,,,0
24114,δ02146,διαπτύω,v,----------,,,,,,0
24115,δ02147,διάπτωμα,n,n-s---nn3t,διαπτώματος,,,,,0
24116,δ02148,διάπτωσις,n,n-s---fn3v,διαπτωσέως,,,,,0
24117,δ02149,διαπυδαρίζω,v,----------,,,,,,0
24118,δ02150,διαπυέω,v,----------,,,,,,0
24120,δ02152,διαπύησις,n,n-s---fn3v,διαπυησέως,,,,,0
24122,δ02154,διαπυί̈σκομαι,v,----------,,,,,,0
24123,δ02155,διάπυκνος,a,aps---cn2-,διάπυκνος διάπυκνος διάπυκνον,,,,,0
24124,δ02156,διαπυκτεύω,v,----------,,,,,,0
24125,δ02157,διαπύλιον,n,n-s---nn2-,διαπυλίου,,,,,0
24127,δ02159,διάπυος,a,aps---cn2-,διάπυος διάπυος διάπυον,,,,,0
24128,δ02160,διαπυόω,v,----------,,,,,,0
24077,δ02110,διαποστέλλω,v,----------,,,,,,0
24133,δ02165,διάπυρος,a,aps---cn2-,διάπυρος διάπυρος διάπυρον,,,,,0
24134,δ02166,διαπυρπαλαμάω,v,----------,,,,,,0
24136,δ02168,διαπυρσεύω,v,----------,,,,,,0
24137,δ02169,διαπύρωσις,n,n-s---fn3v,διαπυρωσέως,,,,,0
24138,δ02170,διάπυστος,a,aps---cn2-,διάπυστος διάπυστος διάπυστον,,,,,0
24139,δ02171,διαπυτίζω,v,----------,,,,,,0
24140,δ02172,διαπωλέω,v,----------,,,,,,0
24141,δ02173,διαπωρόομαι,v,----------,,,,,,0
24142,δ02174,διαράομαι,v,----------,,,,,,0
24143,δ02175,διαραπισμός,n,----------,,,,,,0
24144,δ02176,διαράσσω,v,----------,,,,,,0
24146,δ02178,διάρδω,v,----------,,,,,,0
24148,δ02181,διαρθρέω,v,----------,,,,,,0
24149,δ02182,διαρθρόω,v,----------,,,,,,0
24150,δ02183,διάρθρωσις,n,n-s---fn3v,διαρθρωσέως,,,,,0
24151,δ02184,διαρθρωτέον,a,----------,,,,,,0
24153,δ02186,διαριθμέω,v,----------,,,,,,0
24154,δ02187,διαρίθμησις,n,n-s---fn3v,διαριθμησέως,,,,,0
